# alpha_func, r_func, r_func_der, b_func, b_func_der, n_func
9.000000000000000222e-01,1.046938844884038461e-01,9.938472419282801118e-01,1.655340923948844800e-01,1.570125401564259171e+00,6.004780363705955470e-04
9.000000000000000222e-01,1.056876974625995391e-01,9.937786704988424979e-01,1.671042177964490172e-01,1.570125401564259171e+00,5.998071111902930283e-04
9.000000000000000222e-01,1.066814417573252738e-01,9.937098828404229423e-01,1.686743431980131103e-01,1.570125401564259171e+00,5.991361860099907264e-04
9.000000000000000222e-01,1.076751171559056225e-01,9.936408780580027189e-01,1.702444685995774254e-01,1.570125401564259171e+00,5.984652608296884245e-04
9.000000000000000222e-01,1.086687234407667790e-01,9.935716552520068579e-01,1.718145940011415185e-01,1.570125401564259171e+00,5.977943356493861226e-04
9.000000000000000222e-01,1.096622603934336859e-01,9.935022135182793868e-01,1.733847194027060556e-01,1.570125401564259171e+00,5.971234104690836039e-04
9.000000000000000222e-01,1.106557277945245110e-01,9.934325519480545763e-01,1.749548448042701487e-01,1.570125401564259171e+00,5.964524852887815188e-04
9.000000000000000222e-01,1.116491254237466924e-01,9.933626696279282964e-01,1.765249702058344639e-01,1.570125401564259171e+00,5.957815601084790001e-04
9.000000000000000222e-01,1.126424530598911233e-01,9.932925656398324810e-01,1.780950956073985569e-01,1.570125401564259171e+00,5.951106349281766981e-04
9.000000000000000222e-01,1.136357104808293772e-01,9.932222390610044860e-01,1.796652210089630941e-01,1.570125401564259171e+00,5.944397097478743962e-04
9.000000000000000222e-01,1.146288974635071567e-01,9.931516889639608880e-01,1.812353464105271872e-01,1.570125401564259171e+00,5.937687845675720943e-04
9.000000000000000222e-01,1.156220137839405609e-01,9.930809144164675084e-01,1.828054718120915023e-01,1.570125401564259171e+00,5.930978593872695756e-04
9.000000000000000222e-01,1.166150592172110478e-01,9.930099144815122125e-01,1.843755972136555954e-01,1.570125401564259171e+00,5.924269342069672737e-04
9.000000000000000222e-01,1.176080335374606878e-01,9.929386882172743789e-01,1.859457226152201326e-01,1.570125401564259171e+00,5.917560090266649718e-04
9.000000000000000222e-01,1.186009365178869179e-01,9.928672346770966994e-01,1.875158480167842256e-01,1.570125401564259171e+00,5.910850838463626699e-04
9.000000000000000222e-01,1.195937679307389478e-01,9.927955529094569798e-01,1.890859734183487628e-01,1.570125401564259171e+00,5.904141586660603680e-04
9.000000000000000222e-01,1.205865275473112924e-01,9.927236419579363869e-01,1.906560988199126339e-01,1.570125401564259171e+00,5.897432334857580661e-04
9.000000000000000222e-01,1.215792151379397196e-01,9.926515008611914714e-01,1.922262242214767269e-01,1.570125401564259171e+00,5.890723083054557642e-04
9.000000000000000222e-01,1.225718304719965318e-01,9.925791286529237478e-01,1.937963496230412641e-01,1.570125401564259171e+00,5.884013831251532455e-04
9.000000000000000222e-01,1.235643733178849041e-01,9.925065243618496069e-01,1.953664750246058013e-01,1.570125401564259171e+00,5.877304579448509435e-04
9.000000000000000222e-01,1.245568434430339017e-01,9.924336870116702292e-01,1.969366004261696723e-01,1.570125401564259171e+00,5.870595327645486416e-04
9.000000000000000222e-01,1.255492406138945527e-01,9.923606156210406093e-01,1.985067258277337654e-01,1.570125401564259171e+00,5.863886075842463397e-04
9.000000000000000222e-01,1.265415645959337698e-01,9.922873092035399134e-01,2.000768512292983026e-01,1.570125401564259171e+00,5.857176824039440378e-04
9.000000000000000222e-01,1.275338151536291875e-01,9.922137667676387274e-01,2.016469766308628397e-01,1.570125401564259171e+00,5.850467572236415191e-04
9.000000000000000222e-01,1.285259920504641662e-01,9.921399873166694139e-01,2.032171020324269328e-01,1.570125401564259171e+00,5.843758320433392172e-04
9.000000000000000222e-01,1.295180950489232818e-01,9.920659698487944711e-01,2.047872274339908039e-01,1.570125401564259171e+00,5.837049068630369153e-04
9.000000000000000222e-01,1.305101239104869693e-01,9.919917133569754464e-01,2.063573528355553410e-01,1.570125401564259171e+00,5.830339816827346134e-04
9.000000000000000222e-01,1.315020783956254991e-01,9.919172168289391855e-01,2.079274782371198782e-01,1.570125401564259171e+00,5.823630565024320947e-04
9.000000000000000222e-01,1.324939582637938984e-01,9.918424792471478568e-01,2.094976036386839713e-01,1.570125401564259171e+00,5.816921313221300096e-04
9.000000000000000222e-01,1.334857632734274824e-01,9.917674995887659772e-01,2.110677290402480644e-01,1.570125401564259171e+00,5.810212061418277077e-04
9.000000000000000222e-01,1.344774931819364416e-01,9.916922768256275500e-01,2.126378544418123795e-01,1.570125401564259171e+00,5.803502809615251889e-04
9.000000000000000222e-01,1.354691477456996529e-01,9.916168099242039791e-01,2.142079798433769167e-01,1.570125401564259171e+00,5.796793557812228870e-04
9.000000000000000222e-01,1.364607267200592389e-01,9.915410978455715396e-01,2.157781052449410097e-01,1.570125401564259171e+00,5.790084306009205851e-04
9.000000000000000222e-01,1.374522298593166270e-01,9.914651395453760729e-01,2.173482306465051028e-01,1.570125401564259171e+00,5.783375054206182832e-04
9.000000000000000222e-01,1.384436569167261932e-01,9.913889339738027884e-01,2.189183560480694180e-01,1.570125401564259171e+00,5.776665802403157645e-04
9.000000000000000222e-01,1.394350076444889341e-01,9.913124800755392929e-01,2.204884814496339551e-01,1.570125401564259171e+00,5.769956550600134626e-04
9.000000000000000222e-01,1.404262817937481644e-01,9.912357767897453931e-01,2.220586068511980482e-01,1.570125401564259171e+00,5.763247298797111607e-04
9.000000000000000222e-01,1.414174791145837440e-01,9.911588230500154584e-01,2.236287322527621413e-01,1.570125401564259171e+00,5.756538046994088588e-04
9.000000000000000222e-01,1.424085993560061936e-01,9.910816177843455588e-01,2.251988576543264564e-01,1.570125401564259171e+00,5.749828795191065569e-04
9.000000000000000222e-01,1.433996422659515046e-01,9.910041599151001579e-01,2.267689830558909936e-01,1.570125401564259171e+00,5.743119543388040382e-04
9.000000000000000222e-01,1.443906075912742282e-01,9.909264483589751427e-01,2.283391084574550867e-01,1.570125401564259171e+00,5.736410291585017363e-04
9.000000000000000222e-01,1.453814950777439496e-01,9.908484820269635174e-01,2.299092338590191797e-01,1.570125401564259171e+00,5.729701039781994343e-04
9.000000000000000222e-01,1.463723044700379616e-01,9.907702598243208758e-01,2.314793592605834949e-01,1.570125401564259171e+00,5.722991787978971324e-04
9.000000000000000222e-01,1.473630355117355462e-01,9.906917806505288748e-01,2.330494846621475880e-01,1.570125401564259171e+00,5.716282536175948305e-04
9.000000000000000222e-01,1.483536879453133672e-01,9.906130433992603734e-01,2.346196100637121251e-01,1.570125401564259171e+00,5.709573284372925286e-04
9.000000000000000222e-01,1.493442615121376993e-01,9.905340469583416851e-01,2.361897354652762182e-01,1.570125401564259171e+00,5.702864032569902267e-04
9.000000000000000222e-01,1.503347559524609023e-01,9.904547902097173839e-01,2.377598608668405333e-01,1.570125401564259171e+00,5.696154780766877080e-04
9.000000000000000222e-01,1.513251710054132892e-01,9.903752720294147771e-01,2.393299862684046264e-01,1.570125401564259171e+00,5.689445528963854061e-04
9.000000000000000222e-01,1.523155064089992405e-01,9.902954912875047144e-01,2.409001116699691636e-01,1.570125401564259171e+00,5.682736277160831042e-04
9.000000000000000222e-01,1.533057619000891825e-01,9.902154468480659499e-01,2.424702370715332567e-01,1.570125401564259171e+00,5.676027025357808023e-04
9.000000000000000222e-01,1.542959372144156460e-01,9.901351375691483936e-01,2.440403624730975718e-01,1.570125401564259171e+00,5.669317773554782836e-04
9.000000000000000222e-01,1.552860320865650789e-01,9.900545623027326991e-01,2.456104878746616649e-01,1.570125401564259171e+00,5.662608521751761985e-04
9.000000000000000222e-01,1.562760462499739045e-01,9.899737198946961803e-01,2.471806132762262020e-01,1.570125401564259171e+00,5.655899269948736797e-04
9.000000000000000222e-01,1.572659794369205832e-01,9.898926091847711772e-01,2.487507386777902951e-01,1.570125401564259171e+00,5.649190018145713778e-04
9.000000000000000222e-01,1.582558313785207837e-01,9.898112290065095298e-01,2.503208640793546103e-01,1.570125401564259171e+00,5.642480766342690759e-04
9.000000000000000222e-01,1.592456018047199995e-01,9.897295781872411657e-01,2.518909894809187033e-01,1.570125401564259171e+00,5.635771514539667740e-04
9.000000000000000222e-01,1.602352904442886639e-01,9.896476555480365755e-01,2.534611148824832405e-01,1.570125401564259171e+00,5.629062262736642553e-04
9.000000000000000222e-01,1.612248970248143509e-01,9.895654599036677324e-01,2.550312402840473336e-01,1.570125401564259171e+00,5.622353010933621702e-04
9.000000000000000222e-01,1.622144212726972512e-01,9.894829900625686792e-01,2.566013656856116487e-01,1.570125401564259171e+00,5.615643759130596515e-04
9.000000000000000222e-01,1.632038629131414842e-01,9.894002448267936733e-01,2.581714910871757418e-01,1.570125401564259171e+00,5.608934507327573496e-04
9.000000000000000222e-01,1.641932216701511016e-01,9.893172229919793281e-01,2.597416164887402790e-01,1.570125401564259171e+00,5.602225255524550477e-04
9.000000000000000222e-01,1.651824972665220936e-01,9.892339233473034232e-01,2.613117418903043720e-01,1.570125401564259171e+00,5.595516003721527458e-04
9.000000000000000222e-01,1.661716894238367270e-01,9.891503446754441597e-01,2.628818672918686872e-01,1.570125401564259171e+00,5.588806751918502271e-04
9.000000000000000222e-01,1.671607978624561064e-01,9.890664857525397480e-01,2.644519926934327803e-01,1.570125401564259171e+00,5.582097500115479251e-04
9.000000000000000222e-01,1.681498223015148452e-01,9.889823453481443316e-01,2.660221180949973174e-01,1.570125401564259171e+00,5.575388248312456232e-04
9.000000000000000222e-01,1.691387624589128780e-01,9.888979222251912393e-01,2.675922434965614105e-01,1.570125401564259171e+00,5.568678996509433213e-04
9.000000000000000222e-01,1.701276180513111025e-01,9.888132151399466885e-01,2.691623688981257256e-01,1.570125401564259171e+00,5.561969744706410194e-04
9.000000000000000222e-01,1.711163887941219708e-01,9.887282228419707053e-01,2.707324942996898187e-01,1.570125401564259171e+00,5.555260492903387175e-04
9.000000000000000222e-01,1.721050744015051315e-01,9.886429440740716057e-01,2.723026197012543559e-01,1.570125401564259171e+00,5.548551241100361988e-04
9.000000000000000222e-01,1.730936745863589088e-01,9.885573775722661383e-01,2.738727451028184490e-01,1.570125401564259171e+00,5.541841989297338969e-04
9.000000000000000222e-01,1.740821890603148625e-01,9.884715220657351864e-01,2.754428705043827641e-01,1.570125401564259171e+00,5.535132737494315950e-04
9.000000000000000222e-01,1.750706175337296278e-01,9.883853762767793594e-01,2.770129959059468572e-01,1.570125401564259171e+00,5.528423485691292931e-04
9.000000000000000222e-01,1.760589597156795583e-01,9.882989389207766928e-01,2.785831213075113943e-01,1.570125401564259171e+00,5.521714233888267744e-04
9.000000000000000222e-01,1.770472153139517058e-01,9.882122087061379068e-01,2.801532467090754874e-01,1.570125401564259171e+00,5.515004982085246893e-04
9.000000000000000222e-01,1.780353840350394623e-01,9.881251843342623298e-01,2.817233721106398026e-01,1.570125401564259171e+00,5.508295730282221705e-04
9.000000000000000222e-01,1.790234655841326794e-01,9.880378644994926018e-01,2.832934975122038956e-01,1.570125401564259171e+00,5.501586478479198686e-04
9.000000000000000222e-01,1.800114596651133936e-01,9.879502478890710426e-01,2.848636229137684328e-01,1.570125401564259171e+00,5.494877226676175667e-04
9.000000000000000222e-01,1.809993659805458066e-01,9.878623331830921339e-01,2.864337483153325259e-01,1.570125401564259171e+00,5.488167974873152648e-04
9.000000000000000222e-01,1.819871842316719834e-01,9.877741190544593319e-01,2.880038737168968410e-01,1.570125401564259171e+00,5.481458723070127461e-04
9.000000000000000222e-01,1.829749141184023320e-01,9.876856041688364396e-01,2.895739991184609341e-01,1.570125401564259171e+00,5.474749471267104442e-04
9.000000000000000222e-01,1.839625553393101909e-01,9.875967871846040858e-01,2.911441245200254713e-01,1.570125401564259171e+00,5.468040219464081423e-04
9.000000000000000222e-01,1.849501075916225035e-01,9.875076667528102092e-01,2.927142499215895644e-01,1.570125401564259171e+00,5.461330967661058404e-04
9.000000000000000222e-01,1.859375705712147109e-01,9.874182415171253169e-01,2.942843753231538795e-01,1.570125401564259171e+00,5.454621715858035385e-04
9.000000000000000222e-01,1.869249439726010376e-01,9.873285101137939668e-01,2.958545007247179726e-01,1.570125401564259171e+00,5.447912464055012366e-04
9.000000000000000222e-01,1.879122274889293565e-01,9.872384711715870287e-01,2.974246261262825097e-01,1.570125401564259171e+00,5.441203212251987179e-04
9.000000000000000222e-01,1.888994208119717522e-01,9.871481233117547216e-01,2.989947515278466028e-01,1.570125401564259171e+00,5.434493960448964159e-04
9.000000000000000222e-01,1.898865236321181926e-01,9.870574651479758765e-01,3.005648769294109179e-01,1.570125401564259171e+00,5.427784708645941140e-04
