# s_error_dp, s_error_pinn
7.503804588120525140e-04,1.596232303791245903e-04
8.476005000575019196e-04,2.287758320038383740e-04
7.364897471626996595e-04,3.258593442426164664e-04
4.850110746641297325e-04,3.230417319823864733e-04
5.607198182470779458e-04,3.421434486092126510e-04
6.452788474197027665e-04,3.590392206375681819e-04
8.342125092566934300e-04,4.611460790965255592e-04
8.994163280513044331e-04,4.486927063444582308e-04
8.913985545160015359e-04,5.366691428928238019e-04
1.205978097853501038e-03,5.989299827327459807e-04
1.358268203100000725e-03,8.062160742917406269e-04
1.328080713500578427e-03,8.613552965295388341e-04
1.213008557835664825e-03,1.029049694493822673e-03
1.122631962835947276e-03,1.046048165906014347e-03
1.006385120180106800e-03,1.102924695155725436e-03
1.057061455150872051e-03,1.060195119515961685e-03
1.090311834926245387e-03,1.178122222821087950e-03
1.105027276362054948e-03,1.248296894033662291e-03
1.104866184941099465e-03,1.357875442203444359e-03
1.085302894334732367e-03,1.337068758023023975e-03
1.046386407996380882e-03,1.388953210800686214e-03
1.026084677096513647e-03,1.295823034817047883e-03
1.007531976016056915e-03,1.060862749446635266e-03
9.696274176552112291e-04,1.062139067497793951e-03
9.686300960429341860e-04,9.299847109761840867e-04
7.401736489735027610e-04,8.800105425054421254e-04
1.319520297870303046e-04,7.833146700683030509e-04
1.181030944220364643e-04,6.135486161730969220e-04
1.845206619534909653e-04,5.745641175150303231e-04
3.477843524821970381e-04,3.846222537473555840e-04
6.457408872720114042e-04,2.460111358531983467e-04
1.291093956846061470e-03,1.313485445504371490e-04
1.184080971181168587e-03,2.965735510050644457e-04
1.426983557529990648e-03,1.918658703277522433e-04
1.385177847416932005e-03,2.694218990506876241e-04
1.403569510361400404e-03,3.990872107049295335e-04
1.219571480822984532e-03,6.274678744632174827e-04
1.240760387180563041e-03,6.460017860019381204e-04
1.008754030662000227e-03,6.708904649720201377e-04
1.013664321061910406e-03,7.076206804817996568e-04
7.357187689589430755e-04,6.046463042961362734e-04
3.527639034327952321e-04,6.089020027431278062e-04
2.859645226650135252e-04,6.138074033445587753e-04
6.246908857476872294e-04,7.263593887959654636e-04
1.176431662766763264e-03,7.178607801531153559e-04
1.082187265646342459e-03,7.033741784008910565e-04
1.312805023659358765e-03,7.040854404775316383e-04
4.180173640102183090e-04,7.501269072997155491e-04
9.738702233197369957e-04,7.835822851433336478e-04
9.347196436789055119e-04,8.757707634450890470e-04
6.010519782188486048e-04,9.376274494764066285e-04
3.251005466934885351e-04,9.468203769925257569e-04
1.097808067834878858e-04,1.017282250533772326e-03
5.368134315474936205e-04,1.062581783493936772e-03
1.827526911474727236e-04,1.313964449629503916e-03
3.162200113338838416e-04,1.064771729394217497e-03
5.094726511768730200e-04,9.761365945299717555e-04
3.964765522499479641e-04,6.803510207918252303e-04
5.648882874912308436e-04,4.925547884528527851e-04
6.071436381323073962e-04,2.818548574685777520e-04
7.100360875999726755e-04,2.348277921682691933e-04
7.035214774345131773e-04,1.266249864304370748e-04
8.640635417511958625e-04,1.506170421575599389e-04
7.497694874932447299e-04,2.428129199523077375e-04
7.584816444902996472e-04,1.658634305843178559e-04
5.127711935571786133e-04,1.809058544706559641e-04
3.504458485164322571e-04,1.890676201016994380e-04
2.567150402524761817e-04,1.215148724843079751e-04
1.425296101689514064e-04,1.502656078986399398e-04
2.621744016960547837e-04,1.492438034894535406e-04
7.848844871443924403e-04,1.487435280626464346e-04
7.304340990516053171e-04,2.696784309543914511e-04
8.037369876995990739e-04,2.887597314180336472e-04
8.579398050111974048e-04,4.507545881969095150e-04
4.904829035872009229e-04,5.770347996408907530e-04
3.349754383395201146e-04,9.522892560605766485e-04
1.280448908827758170e-04,1.078945744085122935e-03
4.408545778418509922e-04,1.336809597174395872e-03
1.222262085161540581e-03,1.353622736307407261e-03
1.276012187602524207e-03,1.222638318529506440e-03
1.125634530176212750e-03,1.035028250371727810e-03
1.155940803899377887e-03,1.016066177292452351e-03
5.274054273100884597e-04,8.508791743599688692e-04
8.582791078157532734e-04,7.160262336374371202e-04
7.843891497441040804e-04,7.411896776027256193e-04
6.603460221057623394e-04,7.343127123769708749e-04
6.598605453269072892e-04,6.729269454154429954e-04
6.556525687016137452e-04,6.519024706549186778e-04
5.668731936839090449e-04,6.134331617973756614e-04
2.809624447010157554e-04,5.575840694678945103e-04
5.471378257717300240e-04,4.887724544317454366e-04
1.351711479514353803e-03,3.863865965808504859e-04
8.704516457490804604e-04,3.586896623874009319e-04
1.043137018826510850e-03,3.132784697242425257e-04
5.745618352899653589e-04,2.608368331220261411e-04
9.729537233975865771e-05,1.662719143264717746e-04
3.962518009543999973e-04,1.224079694698236153e-04
8.251414607585482244e-04,3.604991249584644391e-04
1.171577210458669841e-03,3.288364128043332448e-04
1.242453562027444032e-03,3.134016601007628315e-04
9.020607194068651271e-04,1.163583181618450953e-04
4.500435850934085785e-04,1.582493252534673974e-04
5.166676605408443033e-04,3.364968703707410676e-04
2.382918807650101999e-04,4.237397933726762202e-04
9.898229905336813472e-04,3.933592258944998009e-04
5.450688708430335419e-04,4.862497640775074407e-04
2.911274631097366143e-04,5.595509249330767650e-04
9.912806110394815819e-04,1.305728972575297782e-03
7.104618803616852577e-04,1.137177542035971729e-03
1.368693139996691793e-03,1.139837797062761594e-03
1.077157008006885547e-03,1.357050974666674245e-03
1.294674453600703871e-03,1.083777886679453996e-03
1.083984111014320859e-03,1.259476248226168611e-03
7.755986178758157885e-04,1.175196011059389829e-03
9.989602690963346422e-05,9.824178611895452093e-04
8.458327256957526785e-05,8.548403375003478131e-04
4.616675498989982677e-04,7.085557592175537696e-04
8.387206281184242905e-04,5.298760056650442599e-04
1.033820421068275697e-03,1.591419108800820137e-04
1.302609492175172291e-03,1.194641845352408140e-04
1.109171213184930805e-03,2.021877774947759929e-04
1.086407999965656674e-03,1.855479505226575901e-04
9.517951659000821549e-04,1.767234797869440019e-04
6.508068437970390523e-04,2.793131960597567548e-04
6.897367601351019279e-04,2.943520750092648618e-04
6.203073839752768761e-04,3.474639712155178431e-04
4.462535914658094603e-04,4.488401774381008797e-04
7.867604827015712687e-04,4.716604090921653562e-04
8.066565437493622643e-04,4.953570669438438949e-04
9.820497558522803174e-04,4.908500569559282869e-04
1.343119273871614880e-03,4.900237509968544602e-04
6.942909033300849637e-04,4.882823962066302603e-04
6.377399266131852842e-04,4.799046861547437729e-04
2.804054139150059582e-04,4.466989793130465478e-04
1.704097896477672056e-04,3.645006432219619909e-04
